kabupaten_kota,provinsi,latitude,longitude,sewa_aktual,sewa_prediksi,residual,coef_rumah_layak_huni,coef_ketahanan_bangunan,coef_luas_lantai_7_2,coef_akses_air_minum,coef_akses_sanitasi,coef_cuci_tangan,coef_status_milik_sendiri,coef_status_kontrak_sewa,coef_listrik_pln,coef_latitude,coef_longitude
Lima Puluh Kota,Sumatera Barat,0.0297824276785084,100.56592288409354,8221.0,8884.792004998806,-663.7920049988061,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Pasaman,Sumatera Barat,0.3872921033224694,100.08276000441212,8221.0,8671.069152707882,-450.0691527078816,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Solok Selatan,Sumatera Barat,-1.4063567118251674,101.2525787263994,8221.0,9472.359002609668,-1251.359002609668,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Dharmasraya,Sumatera Barat,-1.130987455355893,101.5541938465957,8221.0,9453.304143331086,-1232.3041433310864,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Pasaman Barat,Sumatera Barat,0.2069527354243694,99.67811627716716,8221.0,8638.801987475275,-417.8019874752754,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Padang,Sumatera Barat,-0.8957171035216385,100.43535432369038,8221.0,9139.631885532715,-918.6318855327154,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Solok,Sumatera Barat,-0.7823512936590555,100.63036480526782,8221.0,9147.09174171104,-926.0917417110395,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Sawah Lunto,Sumatera Barat,-0.6537714054955911,100.75703095387856,8221.0,9135.133231922013,-914.1332319220128,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Padang Panjang,Sumatera Barat,-0.4711941006286114,100.40371610312086,8221.0,9002.96341420916,-781.96341420916,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Bukittinggi,Sumatera Barat,-0.3000989630927661,100.37204264352982,8221.0,8943.793978234029,-722.793978234029,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
