kabupaten_kota,provinsi,latitude,longitude,sewa_2024,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln,latitude,longitude
Ogan Komering Ilir,Sumatera Selatan,-3.343172988543884,105.39068105366404,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-3.343172988543884,105.39068105366404
Muara Enim,Sumatera Selatan,-3.635834759553093,104.0015652181584,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-3.635834759553093,104.0015652181584
Lahat,Sumatera Selatan,-3.8305582473786814,103.38532484050413,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-3.8305582473786814,103.38532484050413
Musi Rawas,Sumatera Selatan,-3.1667314171494367,103.14522095195292,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-3.1667314171494367,103.14522095195292
Musi Banyuasin,Sumatera Selatan,-2.4440840875705456,103.82967196424592,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-2.4440840875705456,103.82967196424592
Banyu Asin,Sumatera Selatan,-2.4878697688973253,104.66809303404575,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-2.4878697688973253,104.66809303404575
Ogan Komering Ulu Selatan,Sumatera Selatan,-4.590247323360914,103.91524090247172,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-4.590247323360914,103.91524090247172
Ogan Komering Ulu Timur,Sumatera Selatan,-4.068872522995667,104.56792257283747,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-4.068872522995667,104.56792257283747
Ogan Ilir,Sumatera Selatan,-3.409977800939368,104.60090288488531,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-3.409977800939368,104.60090288488531
Empat Lawang,Sumatera Selatan,-3.751943624991812,102.9535968887634,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-3.751943624991812,102.9535968887634
Penukal Abab Lematang Ilir,Sumatera Selatan,-3.209884359104186,103.9882793339702,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-3.209884359104186,103.9882793339702
Musi Rawas Utara,Sumatera Selatan,-2.7443987140701607,102.7358396453718,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-2.7443987140701607,102.7358396453718
Kota Palembang,Sumatera Selatan,-2.9733535838672696,104.73281674653592,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-2.9733535838672696,104.73281674653592
Kota Prabumulih,Sumatera Selatan,-3.4528347437959006,104.22938772442416,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-3.4528347437959006,104.22938772442416
Kota Pagar Alam,Sumatera Selatan,-4.109111577157726,103.26267366395189,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-4.109111577157726,103.26267366395189
Kota Lubuklinggau,Sumatera Selatan,-3.2635241614077395,102.87935836626258,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-3.2635241614077395,102.87935836626258
Danau,Sumatera Selatan,-4.860159501902476,103.9353745045638,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-4.860159501902476,103.9353745045638
Bengkulu Selatan,Bengkulu,-4.348663189211438,103.02372955029396,3399.0,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75,-4.348663189211438,103.02372955029396
Rejang Lebong,Bengkulu,-3.430790127447459,102.69889390291108,3399.0,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75,-3.430790127447459,102.69889390291108
Bengkulu Utara,Bengkulu,-3.426921227729385,102.0157827526161,3399.0,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75,-3.426921227729385,102.0157827526161
Seluma,Bengkulu,-4.052313057716453,102.65781985555776,3399.0,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75,-4.052313057716453,102.65781985555776
Mukomuko,Bengkulu,-2.701394437209309,101.48559604460618,3399.0,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75,-2.701394437209309,101.48559604460618
Lebong,Bengkulu,-3.0899267093457428,102.24947681391514,3399.0,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75,-3.0899267093457428,102.24947681391514
Kepahiang,Bengkulu,-3.628231823189902,102.64168875470617,3399.0,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75,-3.628231823189902,102.64168875470617
Bengkulu Tengah,Bengkulu,-3.687547673332724,102.41166971406504,3399.0,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75,-3.687547673332724,102.41166971406504
Kota Bengkulu,Bengkulu,-3.827698622712308,102.31269055949606,3399.0,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75,-3.827698622712308,102.31269055949606
Lampung Barat,Lampung,-5.031742815336386,104.1902893422486,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-5.031742815336386,104.1902893422486
Tanggamus,Lampung,-5.435863533876858,104.67521016413504,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-5.435863533876858,104.67521016413504
Lampung Selatan,Lampung,-5.532772784321386,105.50050153572772,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-5.532772784321386,105.50050153572772
Lampung Timur,Lampung,-5.136651544367107,105.64903679922708,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-5.136651544367107,105.64903679922708
Lampung Tengah,Lampung,-4.861295996142597,105.26464895154368,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-4.861295996142597,105.26464895154368
Lampung Utara,Lampung,-4.809238400777272,104.80589388959837,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-4.809238400777272,104.80589388959837
Way Kanan,Lampung,-4.516452442654987,104.61449008455077,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-4.516452442654987,104.61449008455077
Tulangbawang,Lampung,-4.372762118777207,105.53193814337916,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-4.372762118777207,105.53193814337916
Pesawaran,Lampung,-5.473490391664825,105.11021856268846,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-5.473490391664825,105.11021856268846
Pringsewu,Lampung,-5.330844690947773,104.9200156480894,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-5.330844690947773,104.9200156480894
Mesuji,Lampung,-4.023735185270912,105.37787514073209,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-4.023735185270912,105.37787514073209
Tulang Bawang Barat,Lampung,-4.424818622660224,105.09205814161643,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-4.424818622660224,105.09205814161643
Pesisir Barat,Lampung,-5.382741983641269,104.20537179345924,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-5.382741983641269,104.20537179345924
Kota Bandar Lampung,Lampung,-5.415381895517418,105.2669385988425,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-5.415381895517418,105.2669385988425
Kota Metro,Lampung,-5.121824223284681,105.30644367746756,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-5.121824223284681,105.30644367746756
Danau,Lampung,-4.919405157341443,103.90269316395177,2399.0,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21,-4.919405157341443,103.90269316395177
Bangka,Kepulauan Bangka Belitung,-1.9058874632590403,105.92123214732396,,,,,,,,,,,-1.9058874632590403,105.92123214732396
Belitung,Kepulauan Bangka Belitung,-2.869945793123589,107.71103164508766,,,,,,,,,,,-2.869945793123589,107.71103164508766
Bangka Barat,Kepulauan Bangka Belitung,-1.8908612719881248,105.4894532118837,,,,,,,,,,,-1.8908612719881248,105.4894532118837
Bangka Tengah,Kepulauan Bangka Belitung,-2.430082747186666,106.24331548128409,,,,,,,,,,,-2.430082747186666,106.24331548128409
